Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
06/18/2013,11,,Portland - SE Lafayette,41-051-0080,AQS
06/19/2013,13,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
06/20/2013,10,,SAUVIE ISLAND-SIS,41-009-0004,AQS
06/21/2013,19,,Portland - SE Lafayette,41-051-0080,AQS
06/22/2013,27,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
06/23/2013,28,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
06/24/2013,14,,Portland - SE Lafayette,41-051-0080,AQS
06/25/2013,14,,Portland - SE Lafayette,41-051-0080,AQS
06/26/2013,20,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
06/27/2013,25,,YACOLT - YACOLT RD,53-011-0022,AQS
06/28/2013,30,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
06/29/2013,16,,Portland - SE Lafayette,41-051-0080,AQS
06/30/2013,35,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/01/2013,24,,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS
07/02/2013,20,,YACOLT - YACOLT RD,53-011-0022,AQS
07/03/2013,20,,Portland - SE Lafayette,41-051-0080,AQS
07/04/2013,33,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/05/2013,26,,Portland - SE Lafayette,41-051-0080,AQS
07/06/2013,31,,Portland - SE Lafayette,41-051-0080,AQS
07/07/2013,30,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/08/2013,30,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/09/2013,37,,Portland - SE Lafayette,41-051-0080,AQS
07/10/2013,16,,SAUVIE ISLAND-SIS,41-009-0004,AQS
07/11/2013,17,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/12/2013,29,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/13/2013,32,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/14/2013,33,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/15/2013,28,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/16/2013,33,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/17/2013,32,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/18/2013,29,,Portland - SE Lafayette,41-051-0080,AQS
07/19/2013,34,,Portland - SE Lafayette,41-051-0080,AQS
07/20/2013,32,,Portland - SE Lafayette,41-051-0080,AQS
07/21/2013,28,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/22/2013,25,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/23/2013,35,,Portland - SE Lafayette,41-051-0080,AQS
07/24/2013,27,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
07/25/2013,26,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/26/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/27/2013,26,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/28/2013,28,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/29/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
07/30/2013,31,,Portland - SE Lafayette,41-051-0080,AQS
07/31/2013,37,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/01/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/02/2013,29,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/03/2013,36,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/04/2013,40,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/05/2013,37,,SAUVIE ISLAND-SIS,41-009-0004,AQS
08/06/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/07/2013,29,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/08/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/09/2013,31,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/10/2013,41,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/11/2013,54,,Portland - SE Lafayette,41-051-0080,AQS
08/12/2013,42,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/13/2013,43,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/14/2013,52,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/15/2013,37,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/16/2013,37,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/17/2013,34,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/18/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/19/2013,31,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/20/2013,34,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/21/2013,33,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/22/2013,51,,VANCOUVER - 4TH PL BLVD E,53-011-0013,AQS
08/23/2013,48,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/24/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/25/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/26/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/27/2013,33,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/28/2013,33,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/29/2013,28,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
