"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2000","56","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"01/02/2000","27","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/03/2000","38","","Portland - SE Lafayette","41-051-0080","AQS"
"01/04/2000","30","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"01/05/2000","75","","Portland - SE Lafayette","41-051-0080","AQS"
"01/06/2000","79","","Portland - SE Lafayette","41-051-0080","AQS"
"01/07/2000","81","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"01/08/2000","27","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/09/2000","18","","Portland - SE Lafayette","41-051-0080","AQS"
"01/10/2000","52","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"01/11/2000","48","","Portland - SE Lafayette","41-051-0080","AQS"
"01/12/2000","32","","Portland - SE Lafayette","41-051-0080","AQS"
"01/13/2000","52","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"01/14/2000","37","","Portland - SE Lafayette","41-051-0080","AQS"
"01/15/2000","60","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/16/2000","23","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"01/17/2000","61","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/18/2000","86","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/19/2000","88","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"01/20/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"01/21/2000","51","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"01/22/2000","58","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"01/23/2000","44","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/24/2000","56","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/25/2000","61","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"01/26/2000","53","","Portland - SE Lafayette","41-051-0080","AQS"
"01/27/2000","78","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/28/2000","93","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"01/29/2000","38","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/30/2000","47","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/31/2000","65","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"02/01/2000","16","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"02/02/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/03/2000","22","","SAUVIE ISLAND-SIS","41-009-0004","AQS"
"02/04/2000","28","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/05/2000","39","","Portland - SE Lafayette","41-051-0080","AQS"
"02/06/2000","72","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"02/07/2000","59","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/08/2000","54","","Portland - SE Lafayette","41-051-0080","AQS"
"02/09/2000","71","","Portland - SE Lafayette","41-051-0080","AQS"
"02/10/2000","64","","Portland - SE Lafayette","41-051-0080","AQS"
"02/11/2000","63","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/12/2000","62","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"02/13/2000","54","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/14/2000","27","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/15/2000","55","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"02/16/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"02/17/2000","74","","Portland - SE Lafayette","41-051-0080","AQS"
"02/18/2000","121","","Portland - SE Lafayette","41-051-0080","AQS"
"02/19/2000","60","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"02/20/2000","61","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
