Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1929,8,-0.167,-0.105,-0.099,-0.112
Portland ME,1929,9,-0.155,-0.105,-0.098,-0.112
Portland ME,1929,10,-0.165,-0.105,-0.098,-0.112
Portland ME,1929,11,-0.164,-0.105,-0.098,-0.111
Portland ME,1929,12,-0.19,-0.105,-0.098,-0.111
Portland ME,1930,1,-0.18,-0.104,-0.098,-0.111
Portland ME,1930,2,-0.175,-0.104,-0.098,-0.111
Portland ME,1930,3,-0.166,-0.104,-0.097,-0.111
Portland ME,1930,4,-0.203,-0.104,-0.097,-0.111
Portland ME,1930,5,-0.151,-0.104,-0.097,-0.11
Portland ME,1930,6,-0.17,-0.104,-0.097,-0.11
Portland ME,1930,7,-0.108,-0.103,-0.097,-0.11
Portland ME,1930,8,-0.148,-0.103,-0.097,-0.11
Portland ME,1930,9,-0.13,-0.103,-0.097,-0.11
Portland ME,1930,10,-0.082,-0.103,-0.096,-0.11
Portland ME,1930,11,-0.219,-0.103,-0.096,-0.109
Portland ME,1930,12,-0.162,-0.103,-0.096,-0.109
Portland ME,1931,1,-0.146,-0.103,-0.096,-0.109
Portland ME,1931,2,-0.156,-0.102,-0.096,-0.109
Portland ME,1931,3,0.001,-0.102,-0.096,-0.109
Portland ME,1931,4,-0.106,-0.102,-0.096,-0.109
Portland ME,1931,5,-0.145,-0.102,-0.095,-0.108
Portland ME,1931,6,-0.082,-0.102,-0.095,-0.108
Portland ME,1931,7,-0.108,-0.102,-0.095,-0.108
Portland ME,1931,8,-0.121,-0.101,-0.095,-0.108
Portland ME,1931,9,-0.106,-0.101,-0.095,-0.108
Portland ME,1931,10,-0.128,-0.101,-0.095,-0.108
Portland ME,1931,11,-0.209,-0.101,-0.094,-0.107
Portland ME,1931,12,-0.174,-0.101,-0.094,-0.107
Portland ME,1932,1,-0.107,-0.101,-0.094,-0.107
Portland ME,1932,2,-0.101,-0.1,-0.094,-0.107
Portland ME,1932,3,-0.087,-0.1,-0.094,-0.107
Portland ME,1932,4,-0.142,-0.1,-0.094,-0.107
Portland ME,1932,5,-0.185,-0.1,-0.094,-0.106
Portland ME,1932,6,-0.131,-0.1,-0.093,-0.106
Portland ME,1932,7,-0.077,-0.1,-0.093,-0.106
Portland ME,1932,8,-0.103,-0.1,-0.093,-0.106
Portland ME,1932,9,-0.066,-0.099,-0.093,-0.106
Portland ME,1932,10,-0.158,-0.099,-0.093,-0.106
Portland ME,1932,11,-0.075,-0.099,-0.093,-0.105
Portland ME,1932,12,-0.126,-0.099,-0.093,-0.105
Portland ME,1933,1,-0.046,-0.099,-0.092,-0.105
Portland ME,1933,2,-0.111,-0.099,-0.092,-0.105
Portland ME,1933,3,-0.069,-0.098,-0.092,-0.105
Portland ME,1933,4,-0.072,-0.098,-0.092,-0.105
Portland ME,1933,5,-0.087,-0.098,-0.092,-0.104
